Compound,conc,resp NuclAr,resp pHH3,resp Cell,resp DNA
cpd1,0,267.26,736.22,65,1949.24
cpd1,0,260.33,398.72,105,2137.45
cpd1,0.01,249.67,231.01,97,2116.27
cpd1,0.02,254.31,408.42,77,2067.27
cpd1,0.03,271.71,788.52,80,2132.64
cpd1,0.08,269.13,317.61,114,2123.5
cpd1,0.16,282.26,1576.56,97,2230.61
cpd1,0.3,303.38,755.16,82,2272.34
cpd1,0.8,301.09,970.75,120,2210.09
cpd1,1.6,301.81,1543.6,70,2622.99
cpd1,0,256.88,396.09,174,2086.06
cpd1,0,260.12,455.27,142,2154.41
cpd1,0.01,250.51,345.1,150,2226.69
cpd1,0.02,245.58,607.23,89,2291.62
cpd1,0.03,264.87,296.76,132,1997.43
cpd1,0.08,270.27,178.25,133,2043.57
cpd1,0.16,264.4,1988.99,164,2526.68
cpd1,0.3,303.98,1780.44,104,2364.16
cpd1,0.8,303.34,1818.34,147,2445.12
cpd1,1.6,313.74,1806.91,106,2304.78
cpd1,0,244.59,314.1,182,2242.31
cpd1,0,249.02,670.44,151,2165.82
cpd1,0.01,249.24,594.29,202,2232.45
cpd1,0.02,256.46,517.98,171,2244.26
cpd1,0.03,266.99,311.46,165,2144.88
cpd1,0.08,264.36,314.82,153,2057.83
cpd1,0.16,241.52,933.16,128,2450.84
cpd1,0.3,296.27,964.2,133,2241.84
cpd1,0.8,324.22,1155.63,81,2335.41
cpd1,1.6,288.46,935.22,108,2300.6
cpd1,0,247.24,253.3,61,2397.78
cpd1,0,318.58,196.64,109,2616.59
cpd1,0.01,260.29,188.66,112,2420.54
cpd1,0.02,239.67,405.94,79,2286.42
cpd1,0.03,344.92,254.68,130,2585.81
cpd1,0.08,263.47,381.85,77,2253.53
cpd1,0.16,274.18,1488.6,73,2600.64
cpd1,0.3,309.99,1779.14,75,2990.32
cpd1,0.8,280.11,1898.25,49,2653.9
cpd1,1.6,297.23,1764.35,94,2576.09
cpd1,0,269.4,227.04,70,2235.23
cpd1,0,263.66,344.63,77,2021.93
cpd1,0.01,253.6,312.55,161,2505.38
cpd1,0.02,245.03,456.16,52,2495.98
cpd1,0.03,256.62,539.17,95,2194.58
cpd1,0.08,274.62,208.12,97,2147.22
cpd1,0.16,273.96,1945.22,85,2522.74
cpd1,0.3,279.57,785.61,89,2406.51
cpd1,0.8,288.21,1338.48,78,2385.85
cpd1,1.6,304.7,939.4,61,2269.68
cpd1,0,219.91,241.51,79,2167.27
cpd1,0,252.47,367.43,98,2262.47
cpd1,0.01,313.35,303.79,82,2487.12
cpd1,0.02,246.94,236.15,90,2334.61
cpd1,0.03,270.71,643.14,115,2301.61
cpd1,0.08,278.18,376.95,76,2157.48
cpd1,0.16,281.93,986.57,63,2463.77
cpd1,0.3,298.69,1623.92,77,2261.88
cpd1,0.8,306.76,1529.65,51,2605.96
cpd1,1.6,290.76,1852.99,79,2453.79
cpd1,0,230.57,283.61,95,2241.51
cpd1,0,260.34,259.32,99,2187.9
cpd1,0.01,265.11,818.88,157,2393.37
cpd1,0.02,265.31,513.14,130,2249.59
cpd1,0.03,257.45,255.39,109,2572.43
cpd1,0.08,251.93,418.68,113,2307.5
cpd1,0.16,248.08,2199.66,160,2612.43
cpd1,0.3,311.3,1826.94,68,2365.63
cpd1,0.8,293.2,1312.64,120,2521.83
cpd1,1.6,260.91,2579.46,74,2573.39
cpd1,0,254.43,356.67,147,2169.85
cpd1,0,259.89,791.47,92,2297.83
cpd1,0.01,253.01,246.58,103,2314.69
cpd1,0.02,251.34,245.86,91,2254.7
cpd1,0.03,292.38,975.84,90,2338.75
cpd1,0.08,260.07,565.39,121,2170.2
cpd1,0.16,279.05,2038.25,85,2339.03
cpd1,0.3,324.86,1654.91,90,2447.7
cpd1,0.8,289.84,1241.02,121,2459.34
cpd1,1.6,276.18,1259.11,61,2165.72
cpd1,0,240.62,430.62,90,2271.47
cpd1,0,240.02,278.69,92,2355.18
cpd1,0.01,239.72,353.01,112,2334.17
cpd1,0.02,264.39,304.04,164,2204.72
cpd1,0.03,259.42,537.24,102,2496.51
cpd1,0.08,279.77,504.93,107,2066.96
cpd1,0.16,261.48,1909.46,90,2471.25
cpd1,0.3,281.96,1925.54,121,2401.95
cpd1,0.8,274.55,1898.2,54,2633.69
cpd1,1.6,296.77,2235.92,93,2535.19
cpd2,0,244.56,34.85,209,2152.48
cpd2,0.05,257.52,36.32,118,2192.44
cpd2,0.1,244.01,37.1,217,2261.96
cpd2,0.3,236.48,38.1,142,2383.11
cpd2,0.5,259.98,37.07,123,2186.62
cpd2,1,270.53,36.91,116,2110.16
cpd2,3,187.86,40.48,208,2913.35
cpd2,5,219.95,40.41,91,2778.76
cpd2,10,196.46,41.86,92,2816.03
cpd2,30,219.78,40.46,63,2935.83
cpd2,0,267.83,35.19,131,1880.97
cpd2,0.05,239.73,35.81,117,2453.48
cpd2,0.1,260.35,36.65,165,2240.22
cpd2,0.3,242.89,36.26,147,2191.59
cpd2,0.5,260.47,37.53,88,2254.69
cpd2,1,259.51,38.22,158,2387.27
cpd2,3,166.52,49.46,109,3590.77
cpd2,5,209.57,40.16,107,2839.75
cpd2,10,193.9,39.92,151,2721.81
cpd2,30,196.45,39.63,97,2797.76
cpd2,0,249.95,38.99,221,2345.41
cpd2,0.05,235.16,36.74,140,2255.74
cpd2,0.1,257.66,35.92,149,2181.97
cpd2,0.3,261.6,37.4,162,2283.57
cpd2,0.5,257.47,37.48,114,2144.29
cpd2,1,247.19,40.19,108,2739.09
cpd2,3,160.43,50.31,67,3358.88
cpd2,5,170.55,50.05,107,3592.83
cpd2,10,161.26,50.12,72,3492.98
cpd2,30,150.81,49.08,62,3661.89
cpd2,0,267.66,37.72,62,2103.19
cpd2,0.05,237.62,37.87,103,2368.38
cpd2,0.1,245.24,38.9,127,2378.18
cpd2,0.3,264.61,39.23,94,2378.53
cpd2,0.5,237.6,37.46,83,2337.38
cpd2,1,243.65,36.75,111,2381.27
cpd2,3,354.43,43.19,60,2992.16
cpd2,5,208.76,40.98,104,2922.3
cpd2,10,196.07,41.28,61,3022.34
cpd2,30,211.11,152.19,94,2810.47
cpd2,0,266.48,38.08,105,2220.23
cpd2,0.05,250.07,37.91,91,2558.46
cpd2,0.1,260.66,37.56,79,2172.04
cpd2,0.3,333.23,37.5,148,2600.63
cpd2,0.5,262.91,38.91,125,3032.61
